2024-06-09 08:16:25.704218	开始信号数据读取
2024-06-09 08:16:29.884211(22/141)	0xaa6e8127831c9de45ae56bb1b0d4d4da6e5665bd数据加载完成，总数据量：10941
2024-06-09 08:16:30.348171(23/141)	0x0d438f3b5175bebc262bf23753c1e53d03432bde数据加载完成，总数据量：10942
2024-06-09 08:16:30.569171(24/141)	0x70401dfd142a16dc7031c56e862fc88cb9537ce0数据加载完成，总数据量：10199
2024-06-09 08:16:30.660174(25/141)	0x176bc22e1855cd5cf5a840081c6c5b92b55e2210数据加载完成，总数据量：3629
2024-06-09 08:16:30.886140(26/141)	0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b数据加载完成，总数据量：10944
2024-06-09 08:16:30.888158(27/141)	0x22b6c31c2beb8f2d0d5373146eed41ab9ede3caf数据加载完成，总数据量：0
2024-06-09 08:16:30.971174(28/141)	0x02f92800f57bcd74066f5709f1daa1a4302df875数据加载完成，总数据量：2645
2024-06-09 08:16:31.035165(29/141)	0x8b8aa7777e18408c07b0ed52ca3dd5bdab34eb7e数据加载完成，总数据量：1002
2024-06-09 08:16:31.261173(30/141)	0x72e364f2abdc788b7e918bc238b21f109cd634d7数据加载完成，总数据量：10943
2024-06-09 08:16:31.478160(31/141)	0x77e06c9eccf2e797fd462a92b6d7642ef85b0a44数据加载完成，总数据量：10200
2024-06-09 08:16:31.532152(32/141)	0xbe33f57f41a20b2f00dec91dcc1169597f36221f数据加载完成，总数据量：569
2024-06-09 08:16:31.885167(33/141)	0x7a5ce6abd131ea6b148a022cb76fc180ae3315a6数据加载完成，总数据量：1416
2024-06-09 08:16:31.949156(34/141)	0xfaba6f8e4a5e8ab82f62fe7c39859fa577269be3数据加载完成，总数据量：1756
2024-06-09 08:16:32.047160(35/141)	0xf4cd3d3fda8d7fd6c5a500203e38640a70bf9577数据加载完成，总数据量：3624
2024-06-09 08:16:32.262160(36/141)	0xd9fcd98c322942075a5c3860693e9f4f03aae07b数据加载完成，总数据量：10195
2024-06-09 08:16:32.397160(37/141)	0xc14b4d4ca66f40f352d7a50fd230ef8b2fb3b8d4数据加载完成，总数据量：5499
2024-06-09 08:16:32.636161(38/141)	0xd33526068d116ce69f19a9ee46f0bd304f21a51f数据加载完成，总数据量：10943
2024-06-09 08:16:32.753162(39/141)	0x7fd4d7737597e7b4ee22acbf8d94362343ae0a79数据加载完成，总数据量：4392
2024-06-09 08:16:32.985148(40/141)	0x430ef9263e76dae63c84292c3409d61c598e9682数据加载完成，总数据量：10942
2024-06-09 08:16:33.214145(41/141)	0x0b38210ea11411557c13457d4da7dc6ea731b88a数据加载完成，总数据量：10939
2024-06-09 08:16:33.834149(42/141)	0xbb0e17ef65f82ab018d8edd776e8dd940327b28b数据加载完成，总数据量：10942
2024-06-09 08:16:33.898151(43/141)	0xeec2be5c91ae7f8a338e1e5f3b5de49d07afdc81数据加载完成，总数据量：1414
2024-06-09 08:16:33.979140(44/141)	0x44971abf0251958492fee97da3e5c5ada88b9185数据加载完成，总数据量：2928
2024-06-09 08:16:34.210138(45/141)	0x69af81e73a73b40adf4f3d4223cd9b1ece623074数据加载完成，总数据量：10944
2024-06-09 08:16:34.276136(46/141)	0x1bb9b64927e0c5e207c9db4093b3738eef5d8447数据加载完成，总数据量：1440
2024-06-09 08:16:34.493144(47/141)	0x9d65ff81a3c488d585bbfb0bfe3c7707c7917f54数据加载完成，总数据量：10938
2024-06-09 08:16:34.560140(48/141)	0xa2c2c937333165d4c5f2dc5f31a43e1239fecfeb数据加载完成，总数据量：2182
2024-06-09 08:16:34.608143(49/141)	0xb549116ac57b47c1b365a890e1d04fd547dfff97数据加载完成，总数据量：350
2024-06-09 08:16:34.762144(50/141)	0x9ff58067bd8d239000010c154c6983a325df138e数据加载完成，总数据量：7645
2024-06-09 08:16:34.777137(51/141)	0x03aa6298f1370642642415edc0db8b957783e8d6数据加载完成，总数据量：393
2024-06-09 08:16:34.974142(52/141)	0x582d872a1b094fc48f5de31d3b73f2d9be47def1数据加载完成，总数据量：10944
2024-06-09 08:16:35.043140(53/141)	0x6fa5e1c43b5a466cbd1cae7993b67c982400d481数据加载完成，总数据量：3584
2024-06-09 08:16:35.250131(54/141)	0x64aa3364f17a4d01c6f1751fd97c2bd3d7e7f1d5数据加载完成，总数据量：10944
2024-06-09 08:16:35.301130(55/141)	0x15e6e0d4ebeac120f9a97e71faa6a0235b85ed12数据加载完成，总数据量：1753
2024-06-09 08:16:35.338130(56/141)	0x24fcfc492c1393274b6bcd568ac9e225bec93584数据加载完成，总数据量：1304
2024-06-09 08:16:35.432128(57/141)	0x0aa8a7d1fb4c64b3b1dcea9a7ade81c59c25b95b数据加载完成，总数据量：3418
2024-06-09 08:16:35.604130(58/141)	0x1bbe973bef3a977fc51cbed703e8ffdefe001fed数据加载完成，总数据量：744
2024-06-09 08:16:35.690134(59/141)	0x24d73bca2bd9c3a61e99dfc7cb86d3c379ebded7数据加载完成，总数据量：3561
2024-06-09 08:16:36.431125(60/141)	0xd9c2d319cd7e6177336b0a9c93c21cb48d84fb54数据加载完成，总数据量：10943
2024-06-09 08:16:36.613120(61/141)	0xb23d80f5fefcddaa212212f028021b41ded428cf数据加载完成，总数据量：9513
2024-06-09 08:16:36.789134(62/141)	0xa9e8acf069c58aec8825542845fd754e41a9489a数据加载完成，总数据量：8064
2024-06-09 08:16:36.991129(63/141)	0x77777feddddffc19ff86db637967013e6c6a116c数据加载完成，总数据量：10933
2024-06-09 08:16:37.122100(64/141)	0x2ba592f78db6436527729929aaf6c908497cb200数据加载完成，总数据量：7320
2024-06-09 08:16:37.230116(65/141)	0x163f8c2467924be0ae7b5347228cabf260318753数据加载完成，总数据量：5856
2024-06-09 08:16:37.424121(66/141)	0xde30da39c46104798bb5aa3fe8b9e0e1f348163f数据加载完成，总数据量：10942
2024-06-09 08:16:37.630116(67/141)	0x514910771af9ca656af840dff83e8264ecf986ca数据加载完成，总数据量：10944
2024-06-09 08:16:37.643115(68/141)	0xb528edbef013aff855ac3c50b381f253af13b997数据加载完成，总数据量：447
2024-06-09 08:16:37.697107(69/141)	0x86734d3819db5525f0bc25e3593a9f3cfc3bb0d5数据加载完成，总数据量：2925
2024-06-09 08:16:37.899106(70/141)	0x0391d2021f89dc339f60fff84546ea23e337750f数据加载完成，总数据量：10944
2024-06-09 08:16:37.965107(71/141)	0xde4ee8057785a7e8e800db58f9784845a5c2cbd6数据加载完成，总数据量：3647
2024-06-09 08:16:38.022105(72/141)	0x826180541412d574cf1336d22c0c0a287822678a数据加载完成，总数据量：2928
2024-06-09 08:16:38.100114(73/141)	0x83d4927d060a7a33ad838bd7ea0ec128d58c9003数据加载完成，总数据量：4273
2024-06-09 08:16:38.295112(74/141)	0x92d6c1e31e14520e676a687f0a93788b716beff5数据加载完成，总数据量：10940
2024-06-09 08:16:39.027104(75/141)	0xa117000000f279d81a1d3cc75430faa017fa5a2e数据加载完成，总数据量：7293
2024-06-09 08:16:39.228094(76/141)	0x3593d125a4f7849a1b059e64f4517a86dd60c95d数据加载完成，总数据量：10944
2024-06-09 08:16:39.259097(77/141)	0x6e5970dbd6fc7eb1f29c6d2edf2bc4c36124c0c1数据加载完成，总数据量：1440
2024-06-09 08:16:39.427101(78/141)	0x44108f0223a3c3028f5fe7aec7f9bb2e66bef82f数据加载完成，总数据量：9528
2024-06-09 08:16:39.485088(79/141)	0x990f341946a3fdb507ae7e52d17851b87168017c数据加载完成，总数据量：2160
2024-06-09 08:16:39.487057(80/141)	0x57e114b691db790c35207b2e685d4a43181e6061数据加载完成，总数据量：0
2024-06-09 08:16:39.680093(81/141)	0x16eccfdbb4ee1a85a33f3a9b21175cd7ae753db4数据加载完成，总数据量：10933
2024-06-09 08:16:39.709092(82/141)	0x766d2fcece1e3eef32aae8711ab886ee95fd5b2a数据加载完成，总数据量：1111
2024-06-09 08:16:39.890089(83/141)	0x0000000000095413afc295d19edeb1ad7b71c952数据加载完成，总数据量：9526
2024-06-09 08:16:40.091094(84/141)	0x6243d8cea23066d098a15582d81a598b4e8391f4数据加载完成，总数据量：10936
2024-06-09 08:16:40.291095(85/141)	0xc581b735a1688071a1746c968e0798d642ede491数据加载完成，总数据量：10939
2024-06-09 08:16:40.293093(86/141)	0x6b4c7a5e3f0b99fcd83e9c089bddd6c7fce5c611数据加载完成，总数据量：0
2024-06-09 08:16:40.502084(87/141)	0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0数据加载完成，总数据量：10944
2024-06-09 08:16:40.688070(88/141)	0x57ab1ec28d129707052df4df418d58a2d46d5f51数据加载完成，总数据量：8751
2024-06-09 08:16:40.807089(89/141)	0x77fba179c79de5b7653f68b5039af940ada60ce0数据加载完成，总数据量：6597
2024-06-09 08:16:41.045081(90/141)	0xbc396689893d065f41bc2c6ecbee5e0085233447数据加载完成，总数据量：10944
2024-06-09 08:16:41.254086(91/141)	0x940a2db1b7008b6c776d4faaca729d6d4a4aa551数据加载完成，总数据量：10944
2024-06-09 08:16:42.205076(92/141)	0xf21661d0d1d76d3ecb8e1b9f1c923dbfffae4097数据加载完成，总数据量：10944
2024-06-09 08:16:42.432067(93/141)	0x6dea81c8171d0ba574754ef6f8b412f2ed88c54d数据加载完成，总数据量：10936
2024-06-09 08:16:42.471070(94/141)	0x8881562783028f5c1bcb985d2283d5e170d88888数据加载完成，总数据量：438
2024-06-09 08:16:42.684070(95/141)	0x0258f474786ddfd37abce6df6bbb1dd5dfc4434a数据加载完成，总数据量：10939
2024-06-09 08:16:42.724064(96/141)	0x12ef10a4fc6e1ea44b4ca9508760ff51c647bb71数据加载完成，总数据量：968
2024-06-09 08:16:42.757073(97/141)	0xfe0c30065b384f05761f15d0cc899d4f9f9cc0eb数据加载完成，总数据量：326
2024-06-09 08:16:42.846063(98/141)	0x8c6778023c3d4fd79ddd14810079f64c39e9e43d数据加载完成，总数据量：3639
2024-06-09 08:16:42.895073(99/141)	0x922d8563631b03c2c4cf817f4d18f6883aba0109数据加载完成，总数据量：1305
2024-06-09 08:16:42.962062(100/141)	0x35bd01fc9d6d5d81ca9e055db88dc49aa2c699a8数据加载完成，总数据量：2182
2024-06-09 08:16:43.035056(101/141)	0xf7498c98789957f4ee53b3e37ff5b7ef8a6cfc7b数据加载完成，总数据量：2928
2024-06-09 08:16:43.037071(102/141)	0xdc9cb148ecb70876db0abeb92f515a5e1dc9f580数据加载完成，总数据量：0
2024-06-09 08:16:43.271059(103/141)	0x5f98805a4e8be255a32880fdec7f6728c6568ba0数据加载完成，总数据量：10944
2024-06-09 08:16:43.505063(104/141)	0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c数据加载完成，总数据量：10944
2024-06-09 08:16:43.784065(105/141)	0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206数据加载完成，总数据量：10944
2024-06-09 08:16:44.016055(106/141)	0xdf801468a808a32656d2ed2d2d80b72a129739f4数据加载完成，总数据量：10940
2024-06-09 08:16:44.135053(107/141)	0xaac41ec512808d64625576eddd580e7ea40ef8b2数据加载完成，总数据量：3648
2024-06-09 08:16:44.381054(108/141)	0xd3e4ba569045546d09cf021ecc5dfe42b1d7f6e4数据加载完成，总数据量：10944
2024-06-09 08:16:44.458051(109/141)	0xcbf4d5efa82e32a9187385480a7c74cb062b956c数据加载完成，总数据量：1712
2024-06-09 08:16:44.502050(110/141)	0x90de74265a416e1393a450752175aed98fe11517数据加载完成，总数据量：744
2024-06-09 08:16:44.672055(111/141)	0x24bff4fe25b5807bad49b2c08d79bb271766e68a数据加载完成，总数据量：1112
2024-06-09 08:16:44.768061(112/141)	0x467719ad09025fcc6cf6f8311755809d45a5e5f3数据加载完成，总数据量：3648
2024-06-09 08:16:44.984016(113/141)	0x0fd10b9899882a6f2fcb5c371e17e70fdee00c38数据加载完成，总数据量：10944
2024-06-09 08:16:45.208044(114/141)	0x6123b0049f904d730db3c36a31167d9d4121fa6b数据加载完成，总数据量：10940
2024-06-09 08:16:45.283048(115/141)	0xa0cc4428fbb652c396f28dce8868b8743742a71c数据加载完成，总数据量：2184
2024-06-09 08:16:45.323042(116/141)	0xa4bc2b90743294e5e6fd3321a9a131947f7785db数据加载完成，总数据量：744
2024-06-09 08:16:45.482041(117/141)	0xbd2949f67dcdc549c6ebe98696449fa79d988a9f数据加载完成，总数据量：7344
2024-06-09 08:16:45.707040(118/141)	0xb50721bcf8d664c30412cfbc6cf7a15145234ad1数据加载完成，总数据量：8784
2024-06-09 08:16:45.863038(119/141)	0xfcf8eda095e37a41e002e266daad7efc1579bc0a数据加载完成，总数据量：5815
2024-06-09 08:16:45.954039(120/141)	0x5fe72ed557d8a02fff49b3b826792c765d5ce162数据加载完成，总数据量：4928
2024-06-09 08:16:46.136037(121/141)	0xbdab72602e9ad40fc6a6852caf43258113b8f7a5数据加载完成，总数据量：10200
2024-06-09 08:16:47.230036(122/141)	0x81f8f0bb1cb2a06649e51913a151f0e7ef6fa321数据加载完成，总数据量：10200
2024-06-09 08:16:47.302989(123/141)	0xb2e96a63479c2edd2fd62b382c89d5ca79f572d3数据加载完成，总数据量：3647
2024-06-09 08:16:47.449025(124/141)	0xb478c6245e3d85d6ec3486b62ea872128d562541数据加载完成，总数据量：6249
2024-06-09 08:16:47.451033(125/141)	0x3db6ba6ab6f95efed1a6e794cad492faaabf294d数据加载完成，总数据量：0
2024-06-09 08:16:47.693043(126/141)	0x21bfbda47a0b4b5b1248c767ee49f7caa9b23697数据加载完成，总数据量：10941
2024-06-09 08:16:47.790024(127/141)	0xfe67a4450907459c3e1fff623aa927dd4e28c67a数据加载完成，总数据量：3648
2024-06-09 08:16:47.851022(128/141)	0x912529007bc0d2a5464a6a211ebfe217dfb75dff数据加载完成，总数据量：1440
2024-06-09 08:16:48.072028(129/141)	0x18aaa7115705e8be94bffebde57af9bfc265b998数据加载完成，总数据量：10944
2024-06-09 08:16:48.221029(130/141)	0xa19f5264f7d7be11c451c093d8f92592820bea86数据加载完成，总数据量：6952
2024-06-09 08:16:48.254027(131/141)	0x12652c6d93fdb6f4f37d48a8687783c782bb0d10数据加载完成，总数据量：272
2024-06-09 08:16:48.474029(132/141)	0x1bbf25e71ec48b84d773809b4ba55b6f4be946fb数据加载完成，总数据量：10944
2024-06-09 08:16:48.569018(133/141)	0xda31d0d1bc934fc34f7189e38a413ca0a5e8b44f数据加载完成，总数据量：2928
2024-06-09 08:16:48.776013(134/141)	0xe0c8b298db4cffe05d1bea0bb1ba414522b33c1b数据加载完成，总数据量：8783
2024-06-09 08:16:48.989990(135/141)	0x30d20208d987713f46dfd34ef128bb16c404d10f数据加载完成，总数据量：10199
2024-06-09 08:16:49.060018(136/141)	0xf091867ec603a6628ed83d274e835539d82e9cc8数据加载完成，总数据量：1398
2024-06-09 08:16:49.123012(137/141)	0x0aa1582bebf8d96ea384b6829a5d41278579cd88数据加载完成，总数据量：1739
2024-06-09 08:16:49.366014(138/141)	0xe76c6c83af64e4c60245d8c7de953df673a7a33d数据加载完成，总数据量：10942
2024-06-09 08:16:49.601009(139/141)	0x3845badade8e6dff049820680d1f14bd3903a5d0数据加载完成，总数据量：10944
2024-06-09 08:16:49.835010(140/141)	0x8207c1ffc5b6804f6024322ccf34f29c3541ae26数据加载完成，总数据量：10943
2024-06-09 08:16:49.836011(141/141)	0x9355372396e3f6daf13359b7b607a3374cc638e0数据加载完成，总数据量：0
全部数据加载完成
2024-06-09 08:16:49.840977	开始回放K线数据
K线数据回放：2023-01-02 11:00:00
K线数据回放：2023-03-18 10:00:00
K线数据回放：2023-05-29 00:00:00
K线数据回放：2023-08-01 01:00:00
